word,lemma,is_loanword,donor_language,donor_family,source_word,semantic_domain,confidence
клуб,клуб,1,English,Indo-European/Germanic,club,social,0.85
фото,фото,1,English,Indo-European/Germanic,photo,art,0.90
видео,видео,1,English,Indo-European/Germanic,video,media,0.90
аудио,аудио,1,English,Indo-European/Germanic,audio,media,0.88
трейлер,трейлер,1,English,Indo-European/Germanic,trailer,media,0.94
флешмоб,флешмоб,1,English,Indo-European/Germanic,flash mob,social,0.97
хайп,хайп,1,English,Indo-European/Germanic,hype,media,0.95
кэш,кэш,1,English,Indo-European/Germanic,cache,technology,0.93
тренд,тренд,1,English,Indo-European/Germanic,trend,media,0.90
чат,чат,1,English,Indo-European/Germanic,chat,technology,0.93
бот,бот,1,English,Indo-European/Germanic,bot,technology,0.93
мем,мем,1,English,Indo-European/Germanic,meme,social,0.93
стриминг,стриминг,1,English,Indo-European/Germanic,streaming,media,0.96
геймер,геймер,1,English,Indo-European/Germanic,gamer,technology,0.97
скриншот,скриншот,1,English,Indo-European/Germanic,screenshot,technology,0.97
фриланс,фриланс,1,English,Indo-European/Germanic,freelance,business,0.95
краудфандинг,краудфандинг,1,English,Indo-European/Germanic,crowdfunding,finance,0.97
стейк,стейк,1,English,Indo-European/Germanic,steak,food,0.95
бургер,бургер,1,English,Indo-European/Germanic,burger,food,0.95
смузи,смузи,1,English,Indo-European/Germanic,smoothie,food,0.96
ресторан,ресторан,1,French,Indo-European/Romance,restaurant,food,0.92
кафе,кафе,1,French,Indo-European/Romance,café,food,0.90
меню,меню,1,French,Indo-European/Romance,menu,food,0.92
десерт,десерт,1,French,Indo-European/Romance,dessert,food,0.90
соус,соус,1,French,Indo-European/Romance,sauce,food,0.90
суп,суп,1,French,Indo-European/Romance,soupe,food,0.85
буфет,буфет,1,French,Indo-European/Romance,buffet,food,0.88
пальто,пальто,1,French,Indo-European/Romance,paletot,clothing,0.90
костюм,костюм,1,French,Indo-European/Romance,costume,clothing,0.88
блуза,блуза,1,French,Indo-European/Romance,blouse,clothing,0.90
браслет,браслет,1,French,Indo-European/Romance,bracelet,clothing,0.92
пьеса,пьеса,1,French,Indo-European/Romance,pièce,art,0.88
балет,балет,1,French,Indo-European/Romance,ballet,art,0.90
режим,режим,1,French,Indo-European/Romance,régime,politics,0.85
шоссе,шоссе,1,French,Indo-European/Romance,chaussée,transport,0.92
пейзаж,пейзаж,1,French,Indo-European/Romance,paysage,art,0.93
натюрморт,натюрморт,1,French,Indo-European/Romance,nature morte,art,0.93
мода,мода,1,French,Indo-European/Romance,mode,fashion,0.85
макияж,макияж,1,French,Indo-European/Romance,maquillage,fashion,0.93
жанр,жанр,1,French,Indo-European/Romance,genre,art,0.88
монтаж,монтаж,1,French,Indo-European/Romance,montage,art,0.90
дебют,дебют,1,French,Indo-European/Romance,début,art,0.90
деталь,деталь,1,French,Indo-European/Romance,détail,general,0.80
карьера,карьера,1,French,Indo-European/Romance,carrière,business,0.85
бульон,бульон,1,French,Indo-European/Romance,bouillon,food,0.92
крем,крем,1,French,Indo-European/Romance,crème,food,0.88
пюре,пюре,1,French,Indo-European/Romance,purée,food,0.92
котлета,котлета,1,French,Indo-European/Romance,côtelette,food,0.88
омлет,омлет,1,French,Indo-European/Romance,omelette,food,0.92
бифштекс,бифштекс,1,English,Indo-European/Germanic,beefsteak,food,0.90
шампанское,шампанское,1,French,Indo-European/Romance,champagne,food,0.90
бутерброд,бутерброд,1,German,Indo-European/Germanic,Butterbrot,food,0.93
шницель,шницель,1,German,Indo-European/Germanic,Schnitzel,food,0.95
картофель,картофель,1,German,Indo-European/Germanic,Kartoffel,food,0.90
галстук,галстук,1,German,Indo-European/Germanic,Halstuch,clothing,0.88
лагерь,лагерь,1,German,Indo-European/Germanic,Lager,military,0.82
штаб,штаб,1,German,Indo-European/Germanic,Stab,military,0.90
офицер,офицер,1,German,Indo-European/Germanic,Offizier,military,0.88
солдат,солдат,1,German,Indo-European/Germanic,Soldat,military,0.88
лейтенант,лейтенант,1,German,Indo-European/Germanic,Leutnant,military,0.90
генерал,генерал,1,German,Indo-European/Germanic,General,military,0.85
слесарь,слесарь,1,German,Indo-European/Germanic,Schlosser,labor,0.85
маляр,маляр,1,German,Indo-European/Germanic,Maler,labor,0.83
шрифт,шрифт,1,German,Indo-European/Germanic,Schrift,typography,0.90
штурм,штурм,1,German,Indo-European/Germanic,Sturm,military,0.90
фронт,фронт,1,German,Indo-European/Germanic,Front,military,0.85
курорт,курорт,1,German,Indo-European/Germanic,Kurort,tourism,0.88
бухгалтер,бухгалтер,1,German,Indo-European/Germanic,Buchhalter,finance,0.90
цех,цех,1,German,Indo-European/Germanic,Zeche,industry,0.83
рейс,рейс,1,German,Indo-European/Germanic,Reise,transport,0.85
шлагбаум,шлагбаум,1,German,Indo-European/Germanic,Schlagbaum,transport,0.93
философия,философия,1,Greek/Latin,Indo-European/Classical,philosophia,science,0.92
математика,математика,1,Greek/Latin,Indo-European/Classical,mathematica,science,0.93
физика,физика,1,Greek/Latin,Indo-European/Classical,physica,science,0.92
химия,химия,1,Greek/Latin,Indo-European/Classical,chemia,science,0.90
биология,биология,1,Greek/Latin,Indo-European/Classical,biologia,science,0.93
история,история,1,Greek/Latin,Indo-European/Classical,historia,science,0.85
география,география,1,Greek/Latin,Indo-European/Classical,geographia,science,0.92
медицина,медицина,1,Greek/Latin,Indo-European/Classical,medicina,medicine,0.92
хирургия,хирургия,1,Greek/Latin,Indo-European/Classical,chirurgia,medicine,0.93
диагноз,диагноз,1,Greek/Latin,Indo-European/Classical,diagnosis,medicine,0.93
симптом,симптом,1,Greek/Latin,Indo-European/Classical,symptoma,medicine,0.92
пациент,пациент,1,Greek/Latin,Indo-European/Classical,patiens,medicine,0.90
клиника,клиника,1,Greek/Latin,Indo-European/Classical,clinica,medicine,0.92
аптека,аптека,1,Greek/Latin,Indo-European/Classical,apotheca,medicine,0.88
театр,театр,1,Greek/Latin,Indo-European/Classical,theatrum,art,0.90
опера,опера,1,Italian,Indo-European/Romance,opera,art,0.88
музыка,музыка,1,Greek/Latin,Indo-European/Classical,musica,art,0.90
атлет,атлет,1,Greek/Latin,Indo-European/Classical,athleta,sport,0.90
стадион,стадион,1,Greek/Latin,Indo-European/Classical,stadion,sport,0.90
академия,академия,1,Greek/Latin,Indo-European/Classical,academia,education,0.90
библиотека,библиотека,1,Greek/Latin,Indo-European/Classical,bibliotheca,education,0.93
архив,архив,1,Greek/Latin,Indo-European/Classical,archivum,administration,0.88
текст,текст,1,Greek/Latin,Indo-European/Classical,textus,general,0.85
форма,форма,1,Greek/Latin,Indo-European/Classical,forma,general,0.80
система,система,1,Greek/Latin,Indo-European/Classical,systema,science,0.88
теория,теория,1,Greek/Latin,Indo-European/Classical,theoria,science,0.90
практика,практика,1,Greek/Latin,Indo-European/Classical,practica,general,0.88
метод,метод,1,Greek/Latin,Indo-European/Classical,methodus,science,0.88
анализ,анализ,1,Greek/Latin,Indo-European/Classical,analysis,science,0.90
синтез,синтез,1,Greek/Latin,Indo-European/Classical,synthesis,science,0.90
категория,категория,1,Greek/Latin,Indo-European/Classical,categoria,science,0.90
период,период,1,Greek/Latin,Indo-European/Classical,periodus,general,0.88
элемент,элемент,1,Greek/Latin,Indo-European/Classical,elementum,science,0.88
атом,атом,1,Greek/Latin,Indo-European/Classical,atomus,science,0.93
молекула,молекула,1,Greek/Latin,Indo-European/Classical,molecula,science,0.93
климат,климат,1,Greek/Latin,Indo-European/Classical,clima,science,0.88
атмосфера,атмосфера,1,Greek/Latin,Indo-European/Classical,atmosphaera,science,0.90
экология,экология,1,Greek/Latin,Indo-European/Classical,oecologia,science,0.92
экономика,экономика,1,Greek/Latin,Indo-European/Classical,oeconomia,economics,0.90
политика,политика,1,Greek/Latin,Indo-European/Classical,politica,politics,0.88
демократия,демократия,1,Greek/Latin,Indo-European/Classical,democratia,politics,0.93
республика,республика,1,Greek/Latin,Indo-European/Classical,respublica,politics,0.90
парламент,парламент,1,Greek/Latin,Indo-European/Classical,parliamentum,politics,0.90
конституция,конституция,1,Greek/Latin,Indo-European/Classical,constitutio,politics,0.92
нация,нация,1,Greek/Latin,Indo-European/Classical,natio,politics,0.88
религия,религия,1,Greek/Latin,Indo-European/Classical,religio,religion,0.88
монастырь,монастырь,1,Greek/Latin,Indo-European/Classical,monasterium,religion,0.85
библия,библия,1,Greek/Latin,Indo-European/Classical,biblia,religion,0.92
икона,икона,1,Greek/Latin,Indo-European/Classical,eikon,religion,0.88
алгебра,алгебра,1,Arabic/Persian,Afro-Asiatic/Iranian,al-jabr,science,0.90
алгоритм,алгоритм,1,Arabic/Persian,Afro-Asiatic/Iranian,al-Khwarizmi,science,0.90
алкоголь,алкоголь,1,Arabic/Persian,Afro-Asiatic/Iranian,al-kohl,chemistry,0.90
сахар,сахар,1,Arabic/Persian,Afro-Asiatic/Iranian,sukkar,food,0.75
лимон,лимон,1,Arabic/Persian,Afro-Asiatic/Iranian,laymun,food,0.82
шафран,шафран,1,Arabic/Persian,Afro-Asiatic/Iranian,za'faran,food,0.85
хлопок,хлопок,1,Arabic/Persian,Afro-Asiatic/Iranian,qutn,textile,0.78
халат,халат,1,Arabic/Persian,Afro-Asiatic/Iranian,khilat,clothing,0.88
кофе,кофе,1,Arabic/Persian,Afro-Asiatic/Iranian,qahwa,food,0.88
арсенал,арсенал,1,Arabic/Persian,Afro-Asiatic/Iranian,dar as-sinaa,military,0.82
магазин,магазин,1,Arabic/Persian,Afro-Asiatic/Iranian,makhazin,commerce,0.80
диван,диван,1,Arabic/Persian,Afro-Asiatic/Iranian,divan,furniture,0.82
нашатырь,нашатырь,1,Arabic/Persian,Afro-Asiatic/Iranian,nushadir,chemistry,0.83
матрас,матрас,1,Arabic/Persian,Afro-Asiatic/Iranian,matrah,furniture,0.80
цифра,цифра,1,Arabic/Persian,Afro-Asiatic/Iranian,sifr,science,0.80
базар,базар,1,Turkic,Turkic,bazar,commerce,0.85
башмак,башмак,1,Turkic,Turkic,basmak,clothing,0.85
балаган,балаган,1,Turkic,Turkic,balagan,art,0.83
барабан,барабан,1,Turkic,Turkic,davul,music,0.82
каблук,каблук,1,Turkic,Turkic,kabluk,clothing,0.85
казак,казак,1,Turkic,Turkic,qazaq,history,0.85
атаман,атаман,1,Turkic,Turkic,ataman,history,0.85
кумыс,кумыс,1,Turkic,Turkic,qymyz,food,0.88
аркан,аркан,1,Turkic,Turkic,arkan,tool,0.83
орда,орда,1,Turkic,Turkic,orda,history,0.85
табун,табун,1,Turkic,Turkic,tabun,animal,0.85
ямщик,ямщик,1,Turkic,Turkic,yam,transport,0.78
чулок,чулок,1,Turkic,Turkic,chuloq,clothing,0.78
тавро,тавро,1,Turkic,Turkic,tavro,agriculture,0.75
сарай,сарай,1,Turkic,Turkic,saray,architecture,0.82
туман,туман,1,Turkic,Turkic,tuman,nature,0.72
бисер,бисер,1,Arabic/Persian,Afro-Asiatic/Iranian,busr,craft,0.75
банк,банк,1,Italian,Indo-European/Romance,banca,finance,0.88
капитал,капитал,1,Italian,Indo-European/Romance,capitale,finance,0.85
газета,газета,1,Italian,Indo-European/Romance,gazzetta,media,0.88
пианино,пианино,1,Italian,Indo-European/Romance,pianoforte,music,0.93
виолончель,виолончель,1,Italian,Indo-European/Romance,violoncello,music,0.93
оркестр,оркестр,1,Italian,Indo-European/Romance,orchestra,music,0.90
ария,ария,1,Italian,Indo-European/Romance,aria,music,0.92
сопрано,сопрано,1,Italian,Indo-European/Romance,soprano,music,0.93
тенор,тенор,1,Italian,Indo-European/Romance,tenore,music,0.90
барокко,барокко,1,Italian,Indo-European/Romance,barocco,art,0.90
карнавал,карнавал,1,Italian,Indo-European/Romance,carnevale,culture,0.88
батальон,батальон,1,Italian,Indo-European/Romance,battaglione,military,0.88
армия,армия,1,Italian,Indo-European/Romance,armata,military,0.83
вилла,вилла,1,Italian,Indo-European/Romance,villa,architecture,0.90
яхта,яхта,1,Dutch,Indo-European/Germanic,jacht,transport,0.90
матрос,матрос,1,Dutch,Indo-European/Germanic,matroos,transport,0.88
флаг,флаг,1,Dutch,Indo-European/Germanic,vlag,transport,0.85
компас,компас,1,Dutch,Indo-European/Germanic,kompas,navigation,0.85
верфь,верфь,1,Dutch,Indo-European/Germanic,werf,transport,0.83
боцман,боцман,1,Dutch,Indo-European/Germanic,bootsman,transport,0.90
гавань,гавань,1,Dutch,Indo-European/Germanic,haven,transport,0.80
шкипер,шкипер,1,Dutch,Indo-European/Germanic,schipper,transport,0.88
окно,окно,0,Slavic,Indo-European/Slavic,,household,0.05
стол,стол,0,Slavic,Indo-European/Slavic,,furniture,0.04
стул,стул,0,Slavic,Indo-European/Slavic,,furniture,0.04
дом,дом,0,Slavic,Indo-European/Slavic,,architecture,0.03
вода,вода,0,Slavic,Indo-European/Slavic,,nature,0.03
огонь,огонь,0,Slavic,Indo-European/Slavic,,nature,0.03
земля,земля,0,Slavic,Indo-European/Slavic,,nature,0.04
небо,небо,0,Slavic,Indo-European/Slavic,,nature,0.03
лес,лес,0,Slavic,Indo-European/Slavic,,nature,0.03
поле,поле,0,Slavic,Indo-European/Slavic,,nature,0.03
река,река,0,Slavic,Indo-European/Slavic,,nature,0.03
гора,гора,0,Slavic,Indo-European/Slavic,,nature,0.03
камень,камень,0,Slavic,Indo-European/Slavic,,nature,0.04
дерево,дерево,0,Slavic,Indo-European/Slavic,,nature,0.03
птица,птица,0,Slavic,Indo-European/Slavic,,animal,0.03
рыба,рыба,0,Slavic,Indo-European/Slavic,,animal,0.03
конь,конь,0,Slavic,Indo-European/Slavic,,animal,0.03
корова,корова,0,Slavic,Indo-European/Slavic,,animal,0.04
собака,собака,0,Slavic,Indo-European/Slavic,,animal,0.04
кот,кот,0,Slavic,Indo-European/Slavic,,animal,0.03
медведь,медведь,0,Slavic,Indo-European/Slavic,,animal,0.03
волк,волк,0,Slavic,Indo-European/Slavic,,animal,0.03
лиса,лиса,0,Slavic,Indo-European/Slavic,,animal,0.03
заяц,заяц,0,Slavic,Indo-European/Slavic,,animal,0.04
мышь,мышь,0,Slavic,Indo-European/Slavic,,animal,0.03
день,день,0,Slavic,Indo-European/Slavic,,time,0.03
ночь,ночь,0,Slavic,Indo-European/Slavic,,time,0.03
утро,утро,0,Slavic,Indo-European/Slavic,,time,0.03
вечер,вечер,0,Slavic,Indo-European/Slavic,,time,0.04
весна,весна,0,Slavic,Indo-European/Slavic,,time,0.03
лето,лето,0,Slavic,Indo-European/Slavic,,time,0.03
осень,осень,0,Slavic,Indo-European/Slavic,,time,0.03
зима,зима,0,Slavic,Indo-European/Slavic,,time,0.03
снег,снег,0,Slavic,Indo-European/Slavic,,nature,0.04
дождь,дождь,0,Slavic,Indo-European/Slavic,,nature,0.03
ветер,ветер,0,Slavic,Indo-European/Slavic,,nature,0.04
солнце,солнце,0,Slavic,Indo-European/Slavic,,nature,0.03
луна,луна,0,Slavic,Indo-European/Slavic,,nature,0.03
звезда,звезда,0,Slavic,Indo-European/Slavic,,nature,0.03
хлеб,хлеб,0,Slavic,Indo-European/Slavic,,food,0.10
молоко,молоко,0,Slavic,Indo-European/Slavic,,food,0.04
мясо,мясо,0,Slavic,Indo-European/Slavic,,food,0.03
яйцо,яйцо,0,Slavic,Indo-European/Slavic,,food,0.03
соль,соль,0,Slavic,Indo-European/Slavic,,food,0.04
мать,мать,0,Slavic,Indo-European/Slavic,,family,0.03
отец,отец,0,Slavic,Indo-European/Slavic,,family,0.03
сын,сын,0,Slavic,Indo-European/Slavic,,family,0.03
дочь,дочь,0,Slavic,Indo-European/Slavic,,family,0.03
брат,брат,0,Slavic,Indo-European/Slavic,,family,0.03
сестра,сестра,0,Slavic,Indo-European/Slavic,,family,0.03
муж,муж,0,Slavic,Indo-European/Slavic,,family,0.03
жена,жена,0,Slavic,Indo-European/Slavic,,family,0.03
ребёнок,ребёнок,0,Slavic,Indo-European/Slavic,,family,0.04
друг,друг,0,Slavic,Indo-European/Slavic,,social,0.03
враг,враг,0,Slavic,Indo-European/Slavic,,social,0.04
голова,голова,0,Slavic,Indo-European/Slavic,,body,0.03
рука,рука,0,Slavic,Indo-European/Slavic,,body,0.03
нога,нога,0,Slavic,Indo-European/Slavic,,body,0.03
сердце,сердце,0,Slavic,Indo-European/Slavic,,body,0.03
душа,душа,0,Slavic,Indo-European/Slavic,,abstract,0.04
ум,ум,0,Slavic,Indo-European/Slavic,,abstract,0.03
жизнь,жизнь,0,Slavic,Indo-European/Slavic,,abstract,0.03
смерть,смерть,0,Slavic,Indo-European/Slavic,,abstract,0.03
любовь,любовь,0,Slavic,Indo-European/Slavic,,abstract,0.03
война,война,0,Slavic,Indo-European/Slavic,,abstract,0.04
мир,мир,0,Slavic,Indo-European/Slavic,,abstract,0.04
путь,путь,0,Slavic,Indo-European/Slavic,,abstract,0.03
время,время,0,Slavic,Indo-European/Slavic,,abstract,0.03
место,место,0,Slavic,Indo-European/Slavic,,abstract,0.03
слово,слово,0,Slavic,Indo-European/Slavic,,abstract,0.03
дело,дело,0,Slavic,Indo-European/Slavic,,abstract,0.03
сила,сила,0,Slavic,Indo-European/Slavic,,abstract,0.03
власть,власть,0,Slavic,Indo-European/Slavic,,politics,0.04
право,право,0,Slavic,Indo-European/Slavic,,law,0.03
народ,народ,0,Slavic,Indo-European/Slavic,,politics,0.03
город,город,0,Slavic,Indo-European/Slavic,,architecture,0.03
деревня,деревня,0,Slavic,Indo-European/Slavic,,architecture,0.03
дорога,дорога,0,Slavic,Indo-European/Slavic,,transport,0.03
мост,мост,0,Slavic,Indo-European/Slavic,,architecture,0.04
берег,берег,0,Slavic,Indo-European/Slavic,,nature,0.03
белый,белый,0,Slavic,Indo-European/Slavic,,abstract,0.03
чёрный,чёрный,0,Slavic,Indo-European/Slavic,,abstract,0.03
красный,красный,0,Slavic,Indo-European/Slavic,,abstract,0.03
синий,синий,0,Slavic,Indo-European/Slavic,,abstract,0.03
зелёный,зелёный,0,Slavic,Indo-European/Slavic,,abstract,0.03
большой,большой,0,Slavic,Indo-European/Slavic,,abstract,0.03
малый,малый,0,Slavic,Indo-European/Slavic,,abstract,0.03
старый,старый,0,Slavic,Indo-European/Slavic,,abstract,0.03
новый,новый,0,Slavic,Indo-European/Slavic,,abstract,0.03
добрый,добрый,0,Slavic,Indo-European/Slavic,,abstract,0.03
злой,злой,0,Slavic,Indo-European/Slavic,,abstract,0.03
хороший,хороший,0,Slavic,Indo-European/Slavic,,abstract,0.04
плохой,плохой,0,Slavic,Indo-European/Slavic,,abstract,0.03
умный,умный,0,Slavic,Indo-European/Slavic,,abstract,0.03
высокий,высокий,0,Slavic,Indo-European/Slavic,,abstract,0.03
низкий,низкий,0,Slavic,Indo-European/Slavic,,abstract,0.03
быстрый,быстрый,0,Slavic,Indo-European/Slavic,,abstract,0.03
медленный,медленный,0,Slavic,Indo-European/Slavic,,abstract,0.03
идти,идти,0,Slavic,Indo-European/Slavic,,action,0.03
бежать,бежать,0,Slavic,Indo-European/Slavic,,action,0.03
говорить,говорить,0,Slavic,Indo-European/Slavic,,action,0.03
думать,думать,0,Slavic,Indo-European/Slavic,,action,0.03
видеть,видеть,0,Slavic,Indo-European/Slavic,,action,0.03
слышать,слышать,0,Slavic,Indo-European/Slavic,,action,0.03
знать,знать,0,Slavic,Indo-European/Slavic,,action,0.03
любить,любить,0,Slavic,Indo-European/Slavic,,action,0.03
жить,жить,0,Slavic,Indo-European/Slavic,,action,0.03
работать,работать,0,Slavic,Indo-European/Slavic,,action,0.04
делать,делать,0,Slavic,Indo-European/Slavic,,action,0.03
брать,брать,0,Slavic,Indo-European/Slavic,,action,0.03
давать,давать,0,Slavic,Indo-European/Slavic,,action,0.03
кричать,кричать,0,Slavic,Indo-European/Slavic,,action,0.03
плакать,плакать,0,Slavic,Indo-European/Slavic,,action,0.03
смеяться,смеяться,0,Slavic,Indo-European/Slavic,,action,0.04
читать,читать,0,Slavic,Indo-European/Slavic,,action,0.03
писать,писать,0,Slavic,Indo-European/Slavic,,action,0.03
строить,строить,0,Slavic,Indo-European/Slavic,,action,0.03
учить,учить,0,Slavic,Indo-European/Slavic,,action,0.03
платить,платить,0,Slavic,Indo-European/Slavic,,action,0.04
купить,купить,0,Slavic,Indo-European/Slavic,,action,0.03
продать,продать,0,Slavic,Indo-European/Slavic,,action,0.03
берёза,берёза,0,Slavic,Indo-European/Slavic,,nature,0.03
дуб,дуб,0,Slavic,Indo-European/Slavic,,nature,0.03
сосна,сосна,0,Slavic,Indo-European/Slavic,,nature,0.03
трава,трава,0,Slavic,Indo-European/Slavic,,nature,0.03
цветок,цветок,0,Slavic,Indo-European/Slavic,,nature,0.03
гриб,гриб,0,Slavic,Indo-European/Slavic,,nature,0.03
облако,облако,0,Slavic,Indo-European/Slavic,,nature,0.03
море,море,0,Slavic,Indo-European/Slavic,,nature,0.03
озеро,озеро,0,Slavic,Indo-European/Slavic,,nature,0.03
остров,остров,0,Slavic,Indo-European/Slavic,,nature,0.04
песок,песок,0,Slavic,Indo-European/Slavic,,nature,0.03
глина,глина,0,Slavic,Indo-European/Slavic,,nature,0.03
роутер,роутер,1,English,Indo-European/Germanic,router,technology,0.94
хостинг,хостинг,1,English,Indo-European/Germanic,hosting,technology,0.95
домен,домен,1,English,Indo-European/Germanic,domain,technology,0.92
баг,баг,1,English,Indo-European/Germanic,bug,technology,0.93
апдейт,апдейт,1,English,Indo-European/Germanic,update,technology,0.95
логин,логин,1,English,Indo-European/Germanic,login,technology,0.93
клик,клик,1,English,Indo-European/Germanic,click,technology,0.94
браузер,браузер,1,English,Indo-European/Germanic,browser,technology,0.96
сервер,сервер,1,English,Indo-European/Germanic,server,technology,0.93
спам,спам,1,English,Indo-European/Germanic,spam,technology,0.95
бэкап,бэкап,1,English,Indo-European/Germanic,backup,technology,0.96
фаервол,фаервол,1,English,Indo-European/Germanic,firewall,technology,0.97
трекер,трекер,1,English,Indo-European/Germanic,tracker,technology,0.95
интерфейс,интерфейс,1,English,Indo-European/Germanic,interface,technology,0.93
апгрейд,апгрейд,1,English,Indo-European/Germanic,upgrade,technology,0.95
подкаст,подкаст,1,English,Indo-European/Germanic,podcast,media,0.95
плейлист,плейлист,1,English,Indo-European/Germanic,playlist,media,0.96
стример,стример,1,English,Indo-European/Germanic,streamer,media,0.96
блогер,блогер,1,English,Indo-European/Germanic,blogger,media,0.95
влог,влог,1,English,Indo-European/Germanic,vlog,media,0.96
хэштег,хэштег,1,English,Indo-European/Germanic,hashtag,social,0.97
фолловер,фолловер,1,English,Indo-European/Germanic,follower,social,0.97
репост,репост,1,English,Indo-European/Germanic,repost,social,0.95
инфлюенсер,инфлюенсер,1,English,Indo-European/Germanic,influencer,social,0.97
питч,питч,1,English,Indo-European/Germanic,pitch,business,0.92
нетворкинг,нетворкинг,1,English,Indo-European/Germanic,networking,business,0.97
таргетинг,таргетинг,1,English,Indo-European/Germanic,targeting,business,0.97
фидбэк,фидбэк,1,English,Indo-European/Germanic,feedback,business,0.96
коворкинг,коворкинг,1,English,Indo-European/Germanic,coworking,business,0.97
скрининг,скрининг,1,English,Indo-European/Germanic,screening,business,0.96
тимбилдинг,тимбилдинг,1,English,Indo-European/Germanic,team building,business,0.97
воркшоп,воркшоп,1,English,Indo-European/Germanic,workshop,education,0.95
вебинар,вебинар,1,English,Indo-European/Germanic,webinar,education,0.95
рекрутинг,рекрутинг,1,English,Indo-European/Germanic,recruiting,business,0.96
скейтборд,скейтборд,1,English,Indo-European/Germanic,skateboard,sport,0.97
сноуборд,сноуборд,1,English,Indo-European/Germanic,snowboard,sport,0.97
серфинг,серфинг,1,English,Indo-European/Germanic,surfing,sport,0.96
дайвинг,дайвинг,1,English,Indo-European/Germanic,diving,sport,0.96
джоггинг,джоггинг,1,English,Indo-European/Germanic,jogging,sport,0.97
воркаут,воркаут,1,English,Indo-European/Germanic,workout,sport,0.95
фитнес,фитнес,1,English,Indo-European/Germanic,fitness,sport,0.93
бокс,бокс,1,English,Indo-European/Germanic,boxing,sport,0.88
кемпинг,кемпинг,1,English,Indo-European/Germanic,camping,tourism,0.96
байкер,байкер,1,English,Indo-European/Germanic,biker,sport,0.95
стейкхолдер,стейкхолдер,1,English,Indo-European/Germanic,stakeholder,business,0.97
краш,краш,1,English,Indo-European/Germanic,crush,social,0.90
бустер,бустер,1,English,Indo-European/Germanic,booster,medicine,0.93
лонгрид,лонгрид,1,English,Indo-European/Germanic,longread,media,0.96
флекс,флекс,1,English,Indo-European/Germanic,flex,social,0.92
скролл,скролл,1,English,Indo-European/Germanic,scroll,technology,0.93
чекин,чекин,1,English,Indo-European/Germanic,check-in,tourism,0.95
байпасс,байпасс,1,English,Indo-European/Germanic,bypass,medicine,0.93
пейдж,пейдж,1,English,Indo-European/Germanic,page,technology,0.90
эклер,эклер,1,French,Indo-European/Romance,éclair,food,0.90
антрепренёр,антрепренёр,1,French,Indo-European/Romance,entrepreneur,business,0.85
